year,make,model,avg_market_price
1996,bmw,z3,8000.0
1996,buick,estate,2500.0
1996,buick,lessbre,2000.0
1996,chevrolet,3500hd,8000.0
1996,chevrolet,camaro,13500.0
1996,chevrolet,caprice,9500.0
1996,chevrolet,corvette,9950.0
1996,chevrolet,gmt-400,3000.0
1996,chevrolet,impala,18000.0
1996,chevrolet,k1500,11400.0
1996,chevrolet,silverado,4800.0
1996,chevy,s10,3500.0
1996,chevy,tahoe,10000.0
1996,chrysler,sebring,3800.0
1996,dodge,caravan/grand,4795.0
1996,dodge,cummins,8000.0
1996,dodge,dakota,2200.0
1996,ford,aerostar,4900.0
1996,ford,bronco,16750.0
1996,ford,f-150,10000.0
1996,ford,f-250,8166.666666666667
1996,ford,f-350,55000.0
1996,ford,f250,9130.0
1996,ford,mustang,17220.0
1996,ford,taurus,3750.0
1996,gmc,sierra,10500.0
1996,gmc,suburban,6500.0
1996,gmc,top,21000.0
1996,gmc,topkick,12800.0
1996,gmc,vandura,7000.0
1996,gmc,w4,11000.0
1996,gmc,yukon,8000.0
1996,honda,civic,2833.3333333333335
1996,infiniti,i30,3600.0
1996,jaguar,vanden,3900.0
1996,jeep,cherokee,5250.0
1996,jeep,grand,4266.666666666667
1996,lexus,es,2500.0
1996,mazda,b2300,3000.0
1996,mercedes-benz,s-class,2950.0
1996,nissan,d21,7500.0
1996,nissan,pickup,7700.0
1996,nissan,skyline,32999.0
1996,pontiac,firebird,4999.0
1996,toyota,4runner,4300.0
1996,toyota,avalon,3000.0
1996,toyota,corolla,3000.0
1996,toyota,hiace,85000.0
1996,toyota,rav4,2500.0
1996,toyota,tacoma,7500.0
1996,volvo,850,12000.0
1997,audi,cabriolet,3900.0
1997,bmw,320i,12900.0
1997,bmw,328i,6000.0
1997,bmw,5,12333.333333333334
1997,bmw,840ci,27000.0
1997,bmw,z3,10000.0
1997,bmw,z4,15800.0
1997,cadillac,seville,4750.0
1997,chevrolet,astro,4000.0
1997,chevrolet,camaro,19375.0
1997,chevrolet,corvette,7681.333333333333
1997,chevrolet,express,6900.0
1997,chevrolet,gmt-400,7747.5
1997,chevrolet,monte,3500.0
1997,chevrolet,p30,6000.0
1997,chevrolet,s10,3800.0
1997,chevrolet,silverado,8666.666666666666
1997,chevrolet,suburban,10950.0
1997,chevrolet,tahoe,7350.0
1997,chevy,camaro,5750.0
1997,chevy,monte,3500.0
1997,chevy,silverado,8000.0
1997,chevy,tahoe,9000.0
1997,chrysler,sebring,2000.0
1997,ford,e350,2700.0
1997,ford,expedition,3500.0
1997,ford,f-150,4216.666666666667
1997,ford,f-250,9500.0
1997,ford,f150,5900.0
1997,ford,f250,32000.0
1997,ford,f350,23000.0
1997,ford,mustang,15247.5
1997,ford,ranger,5780.0
1997,ford,unspecified,12500.0
1997,gmc,1997,12000.0
1997,gmc,safari,2150.0
1997,gmc,sierra,22000.0
1997,honda,accord,2900.0
1997,honda,odyssey,2000.0
1997,jeep,cherokee,10250.0
1997,jeep,wrangler,6133.333333333333
1997,lexus,es300,2375.0
1997,lexus,ls,2650.0
1997,mazda,b4000,3100.0
1997,mazda,mx-5,4500.0
1997,mercedes-benz,c-class,3500.0
1997,mercedes-benz,e,4999.0
1997,mercedes-benz,e-class,8900.0
1997,mercedes-benz,sl-class,21500.0
1997,mercedes-benz,sl500,29800.0
1997,mitsubishi,delica,16000.0
1997,nissan,atlas,27000.0
1997,pontiac,firebird,40000.0
1997,subaru,impreza,26900.0
1997,toyota,4runner,5900.0
1997,toyota,camry,2500.0
1997,toyota,celica,12200.0
1997,toyota,previa,2625.0
1997,toyota,t-100,8200.0
1997,toyota,t100,4500.0
1998,bmw,3,5800.0
1998,bmw,m3,15394.0
1998,bmw,z3,4766.666666666667
1998,buick,lesabre,3400.0
1998,buick,park,2500.0
1998,cadillac,concours,3900.0
1998,cadillac,deville,3500.0
1998,chevrolet,astro,4925.0
1998,chevrolet,corvette,16366.666666666666
1998,chevrolet,gmt-400,12000.0
1998,chevrolet,malibu,2150.0
1998,chevrolet,silverado,5500.0
1998,chevrolet,suburban,6000.0
1998,chevrolet,tahoe,13750.0
1998,chevy,cheyenne,12000.0
1998,chevy,ck,7500.0
1998,chevy,tracker,3000.0
1998,dodge,dakota,3750.0
1998,ford,e-150,9150.0
1998,ford,e-350,7500.0
1998,ford,e350,50000.0
1998,ford,escort,2500.0
1998,ford,expedition,2300.0
1998,ford,f-150,3500.0
1998,ford,f-700,12500.0
1998,ford,f-800,25000.0
1998,ford,f250,3016.6666666666665
1998,ford,mustang,6385.714285714285
1998,ford,ranger,4933.333333333333
1998,ford,svt,8900.0
1998,ford,taurus,2400.0
1998,ford,triton,2000.0
1998,ford,unspecified,6500.0
1998,gmc,savana,7100.0
1998,gmc,sierra,7916.666666666667
1998,gmc,unspecified,4500.0
1998,honda,accord,3648.75
1998,honda,civic,7900.0
1998,honda,prelude,5460.0
1998,honda,z,5700.0
1998,jaguar,xk8,4000.0
1998,jeep,cherokee,6750.0
1998,jeep,grand,3000.0
1998,jeep,wrangler,11750.0
1998,jeep,wrangler4x4,6700.0
1998,land,rover,13000.0
1998,lexus,es,8200.0
1998,lexus,gs300,2900.0
1998,mazda,b-series,2500.0
1998,mercedes,e320,5150.0
1998,mercedes,s420,3500.0
1998,mercedes,slk230,12800.0
1998,mercedes-benz,c-class,5949.5
1998,mercedes-benz,e-class,5999.0
1998,mercedes-benz,s-class,7713.5
1998,mitsubishi,delica,9500.0
1998,mitsubishi,eclipse,4500.0
1998,nissan,march,6950.0
1998,pontiac,trans,17500.0
1998,porsche,boxster,13316.666666666666
1998,toyota,4runner,7428.571428571428
1998,toyota,avalon,2500.0
1998,toyota,camry,4400.0
1998,toyota,corolla,5999.0
1998,toyota,landcruiser,10000.0
1998,toyota,rav4,2200.0
1998,toyota,sienna,2687.5
1998,toyota,tacoma,8645.454545454546
1999,acura,cl,2275.0
1999,acura,integra,21649.75
1999,acura,rsx,2100.0
1999,audi,a4,2400.0
1999,bmw,3,20500.0
1999,bmw,323i,4625.0
1999,bmw,328i,11100.0
1999,bmw,7,2800.0
1999,bmw,m3,20897.5
1999,bmw,unspecified,6499.0
1999,bmw,z3,6500.0
1999,cadillac,deville,4533.333333333333
1999,cadillac,eldorado,2500.0
1999,cadillac,escalade,5000.0
1999,cadillac,sts,11000.0
1999,chevrolet,blazer,15000.0
1999,chevrolet,corvette,20833.333333333332
1999,chevrolet,express,7000.0
1999,chevrolet,silverado,7333.333333333333
1999,chevrolet,tahoe,7995.0
1999,chevy,silverado,11750.0
1999,dodge,dakota,5025.0
1999,dodge,durango,3300.0
1999,dodge,intrepid,2000.0
1999,ford,crown,3850.0
1999,ford,e-150,3300.0
1999,ford,escort,4850.0
1999,ford,espedition,5500.0
1999,ford,expedition,2400.0
1999,ford,f-150,4510.0
